id,date,brand,p.1,f.1,d.1,p.2,f.2,d.2,p.3,f.3,d.3,p.4,f.4,d.4,p.5,f.5,d.5
30,9278,5,0.6799998283,0,0,0.7899999619,0,0,0.6799998283,0,0,0.7899999619,0,0,0.7299995422,0,0
30,9391,5,0.6899995804,1,0,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.7299995422,0,0
30,9540,5,0.6899995804,0,0,0.4899997711,1,0,0.6899995804,0,0,0.4899997711,1,0,0.6499996185,0,0
30,9614,5,0.6899995804,0,0,0.6799998283,1,0,0.6899995804,0,0,0.6899995804,0,0,0.6499996185,0,0
30,9644,5,0.6799998283,0,0,0.5499997139,0,0,0.6799998283,0,0,0.6899995804,0,0,0.6499996185,0,0
30,9735,5,0.6799998283,0,0,0.7899999619,0,0,0.6799998283,0,0,0.5899996758,0,0,0.6499996185,0,0
30,9826,5,0.5899996758,0,0,0.4899997711,1,0,0.5899996758,0,0,0.4899997711,1,0,0.5499997139,0,0
30,9919,5,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
31,9404,1,0.6799998283,0,0,0.7899999619,0,0,0.6799998283,0,0,0.7899999619,0,0,0.7299995422,0,0
31,9806,2,0.5899996758,0,0,0.4899997711,1,0,0.5899996758,0,0,0.4899997711,0,0,0.529999733,0,0
31,9862,2,0.6899995804,0,0,0.4899997711,1,0,0.6899995804,0,0,0.4899997711,0,0,0.5499997139,0,0
31,9918,1,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5799999237,0,0,0.5499997139,0,0
31,9932,1,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5799999237,0,0,0.5499997139,0,0
31,9961,2,0.5899996758,0,0,0.5799999237,1,0,0.5899996758,0,0,0.5799999237,0,0,0.5499997139,0,0
31,10002,2,0.5899996758,0,0,0.5799999237,1,0,0.5899996758,0,0,0.5799999237,1,0,0.5499997139,0,0
32,9188,2,0.7899999619,0,0,0.7899999619,0,0,0.7899999619,0,0,0.7899999619,0,0,0.7299995422,0,0
32,9237,2,0.7899999619,0,0,0.7899999619,0,0,0.7899999619,1,0,0.7899999619,0,0,0.7299995422,0,0
